age,body,colour,fuel,location,make,milage,model,price,transmission
4.0711841205,Hatchback,White,Petrol,Warrington,SUZUKI,9373,CELERIO HATCHBACK 1.0 Dualjet SZ3 5dr,9550,Manual
4.5612594114,Hatchback,Red,Petrol,Manchester,VAUXHALL,41396,CORSA HATCHBACK 1.4 [75] SRi Nav 5dr,9550,Manual
6.3737166324,Hatchback,White,Petrol,Wakefield,KIA,50580,RIO HATCHBACK 1.4 ISG 3 3dr,9550,Manual
5.3661875428,Small,Grey,Petrol,Swindon,SMART,10569,FORTWO COUPE 0.9 Turbo Passion 2dr,9550,Manual
5.3141683778,Hatchback,Blue,Petrol,Warrington,VAUXHALL,32489,CORSA HATCHBACK 1.4 SRi 5dr,9550,Manual
5.8590006845,Hatchback,Grey,Petrol,Norwich,FORD,55110,B-MAX HATCHBACK 1.0 EcoBoost 125 Titanium Navigator 5dr,9600,Manual
5.8124572211,Hatchback,White,Petrol,Swindon,SKODA,17129,CITIGO HATCHBACK SPECIAL EDITIONS 1.0 MPI Colour Edition 5dr,9600,Manual
5.3360711841,Hatchback,Black,Petrol,Wakefield,TOYOTA,32852,AYGO HATCHBACK 1.0 VVT-i X-Style 5dr,9600,Manual
4.9746748802,Hatchback,Blue,Petrol,Sheffield,VAUXHALL,21931,CORSA HATCHBACK 1.4 Design 5dr,9600,Manual
4.7255304586,Hatchback,Grey,Diesel,Swindon,NISSAN,34170,MICRA HATCHBACK DIESEL 1.5 dCi N-Connecta 5dr,9650,Manual
4.1478439425,Hatchback,Red,Petrol,Wakefield,CITROEN,53132,C3 HATCHBACK 1.2 PureTech 82 Feel 5dr,9650,Manual
3.9206023272,Hatchback,Black,Petrol,Northampton,MITSUBISHI,27327,MIRAGE HATCHBACK 1.2 4 5dr,9700,Manual
4.9089664613,Hatchback,Grey,Petrol,Nottingham,PEUGEOT,25353,208 HATCHBACK 1.2 PureTech 82 Signature 5dr [Start Stop],9700,Manual
4.1889117043,Hatchback,Blue,Petrol,Warrington,VAUXHALL,38233,CORSA HATCHBACK 1.4 Design 5dr,9700,Manual
4.5694729637,Hatchback,Blue,Petrol,Northampton,VAUXHALL,41360,CORSA HATCHBACK 1.4 SE Nav 5dr,9700,Manual
4.7008898015,Hatchback,Red,Petrol,Sheffield,RENAULT,31180,CLIO HATCHBACK 0.9 TCE 90 Play 5dr,9700,Manual
4.3203285421,Hatchback,Grey,Petrol,Cardiff,CITROEN,20685,C1 HATCHBACK 1.0 VTi 72 Flair 5dr,9700,Manual
5.3278576318,Hatchback,Black,Petrol,Nottingham,SMART,45393,FORFOUR HATCHBACK 0.9 Turbo Prime Sport Premium 5dr,9700,Manual
8.2354551677,Hatchback,Blue,Petrol,Cardiff,VOLKSWAGEN,55188,POLO HATCHBACK 1.2 TSI SE 5dr,9700,Manual
6.8117727584,Hatchback,Orange,Petrol,Doncaster,PEUGEOT,23162,208 HATCHBACK SPECIAL EDITIONS 1.2 PureTech Active Design Menthol 5dr,9700,Manual
2.9760438056,Hatchback,Pink,Petrol,Cardiff,FIAT,15155,500 HATCHBACK 1.2 Lounge 3dr,9750,Manual
3.0746064339,Hatchback,Red,Petrol,Norwich,TOYOTA,27885,AYGO HATCHBACK 1.0 VVT-i X-Play 5dr,9750,Manual
3.794661191,Hatchback,Blue,Petrol,Sheffield,KIA,16658,PICANTO HATCHBACK 1.0 2 5dr,9750,Manual
3.9397672827,Hatchback,Blue,Petrol,Sheffield,KIA,25076,PICANTO HATCHBACK 1.25 2 5dr,9750,Manual
4.887063655,Hatchback,Grey,Petrol,Bristol,FIAT,15019,500 HATCHBACK 1.2 Lounge 3dr,9750,Manual
4.6379192334,Hatchback,Brown,Petrol,Northampton,KIA,40028,RIO HATCHBACK 1.25 1 5dr,9750,Manual
4.2628336756,Hatchback,Blue,Petrol,Warrington,SUZUKI,30697,SWIFT HATCHBACK 1.2 Dualjet SZ3 5dr,9750,Manual
3.8138261465,Hatchback,Blue,Petrol,Wolverhampton,VAUXHALL,38741,CORSA HATCHBACK SPECIAL EDS 1.4 [75] Griffin 3dr,9750,Manual
3.3648186174,Hatchback,White,Petrol,Wakefield,CITROEN,11520,C1 HATCHBACK 1.0 VTi 72 Urban Ride 5dr,9750,Manual
4.3175906913,Hatchback,Red,Petrol,Northampton,SKODA,20981,CITIGO HATCHBACK 1.0 MPI GreenTech Monte Carlo 3dr,9750,Manual
3.3976728268,Hatchback,Red,Petrol,Cardiff,CITROEN,2604,C1 HATCHBACK 1.0 VTi 72 Flair 3dr,9750,Manual
3.8138261465,Hatchback,Beige,Petrol,Bristol,DACIA,22152,SANDERO STEPWAY HATCHBACK 0.9 TCe Essential 5dr,9750,Manual
7.8165639973,Hatchback,Blue,Petrol,Swindon,PEUGEOT,20259,208 HATCHBACK 1.2 PureTech 110 GT Line 5dr,9750,Manual
5.1471594798,Hatchback,Silver,Petrol,Northampton,CITROEN,39486,C3 HATCHBACK 1.2 PureTech 82 Feel 5dr,9750,Manual
5.3388090349,Hatchback,Red,Petrol,Doncaster,SUZUKI,27142,IGNIS HATCHBACK 1.2 Dualjet SZ3 5dr,9750,Manual
